file,features
132784,"[6.496551724137928, 0.08620689655172414, 0.0603448275862069, 0.1896551724137931, 0.15517241379310345, 0.12931034482758622, 0.3793103448275862]"
132589,"[4.747222222222223, 0.5277777777777778, 0.041666666666666664, 0.027777777777777776, 0.08333333333333333, 0.25, 0.06944444444444445]"
132138,"[8.91139240506329, 0.14556962025316456, 0.33544303797468356, 0.15822784810126583, 0.0, 0.0, 0.36075949367088606]"
132794,"[8.48076923076923, 0.28846153846153844, 0.0, 0.09615384615384616, 0.11538461538461539, 0.07692307692307693, 0.4230769230769231]"
132961,"[5.4975000000000005, 0.5, 0.0375, 0.0125, 0.1125, 0.1125, 0.225]"
132792,"[7.756725146198834, 0.2807017543859649, 0.27485380116959063, 0.011695906432748537, 0.0, 0.0, 0.4327485380116959]"
132795,"[7.757746478873237, 0.11267605633802817, 0.06338028169014084, 0.1267605633802817, 0.1056338028169014, 0.14788732394366197, 0.44366197183098594]"
132139,"[5.3775, 0.3625, 0.05, 0.025, 0.3125, 0.0625, 0.1875]"
132678,"[6.4, 0.2, 0.4, 0.0, 0.2, 0.0, 0.2]"
132677,"[4.8, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
132019,"[5.075925925925926, 0.24074074074074073, 0.08333333333333333, 0.17592592592592593, 0.1388888888888889, 0.09259259259259259, 0.26851851851851855]"
132420,"[7.926267281105994, 0.271889400921659, 0.23963133640552994, 0.1336405529953917, 0.0, 0.0, 0.3548387096774194]"
132434,"[5.344360902255636, 0.22556390977443608, 0.11278195488721804, 0.14285714285714285, 0.14285714285714285, 0.07518796992481203, 0.3007518796992481]"
132141,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
132786,"[4.4864197530864205, 0.3333333333333333, 0.19753086419753085, 0.06172839506172839, 0.09876543209876543, 0.04938271604938271, 0.25925925925925924]"
132781,"[5.604761904761904, 0.35714285714285715, 0.25, 0.0, 0.03571428571428571, 0.011904761904761904, 0.34523809523809523]"
132788,"[5.7, 0.29508196721311475, 0.09016393442622951, 0.19672131147540983, 0.1721311475409836, 0.04918032786885246, 0.19672131147540983]"
132171,"[7.532926829268292, 0.29878048780487804, 0.17073170731707318, 0.036585365853658534, 0.018292682926829267, 0.018292682926829267, 0.4573170731707317]"
132789,"[5.989610389610389, 0.22077922077922077, 0.1038961038961039, 0.14285714285714285, 0.12987012987012986, 0.1038961038961039, 0.2987012987012987]"
132122,"[7.910880829015544, 0.24352331606217617, 0.17098445595854922, 0.21761658031088082, 0.05181347150259067, 0.0051813471502590676, 0.31088082901554404]"
132787,"[5.222857142857142, 0.14761904761904762, 0.09047619047619047, 0.1523809523809524, 0.2, 0.14761904761904762, 0.2619047619047619]"
104067,"[6.809756097560974, 0.25609756097560976, 0.20121951219512196, 0.17682926829268292, 0.024390243902439025, 0.024390243902439025, 0.3170731707317073]"
104068,"[10.537704918032786, 0.29508196721311475, 0.09836065573770492, 0.03278688524590164, 0.03278688524590164, 0.0, 0.5409836065573771]"
104066,"[6.363934426229507, 0.2786885245901639, 0.22950819672131148, 0.07377049180327869, 0.04918032786885246, 0.05737704918032787, 0.3114754098360656]"
104780,"[5.864347826086956, 0.4608695652173913, 0.12173913043478261, 0.008695652173913044, 0.034782608695652174, 0.09565217391304348, 0.2782608695652174]"
104356,"[6.161194029850746, 0.1044776119402985, 0.1044776119402985, 0.14925373134328357, 0.14925373134328357, 0.13432835820895522, 0.3582089552238806]"
104276,"[4.615476190476189, 0.3630952380952381, 0.2261904761904762, 0.08928571428571429, 0.07738095238095238, 0.05357142857142857, 0.19047619047619047]"
104282,"[7.244776119402984, 0.2885572139303483, 0.22388059701492538, 0.14427860696517414, 0.03980099502487562, 0.01990049751243781, 0.2835820895522388]"
104278,"[6.270833333333332, 0.1597222222222222, 0.11805555555555555, 0.2013888888888889, 0.09722222222222222, 0.1388888888888889, 0.2847222222222222]"
104086,"[5.234972677595628, 0.18579234972677597, 0.16939890710382513, 0.3224043715846995, 0.07103825136612021, 0.06557377049180328, 0.18579234972677597]"
104625,"[5.421641791044778, 0.14925373134328357, 0.055970149253731345, 0.14925373134328357, 0.19029850746268656, 0.19402985074626866, 0.26119402985074625]"
104279,"[10.338636363636356, 0.14772727272727273, 0.11363636363636363, 0.03409090909090909, 0.022727272727272728, 0.0, 0.6818181818181818]"
104284,"[7.678494623655914, 0.27956989247311825, 0.3010752688172043, 0.11290322580645161, 0.016129032258064516, 0.005376344086021506, 0.2849462365591398]"
104283,"[5.677300613496932, 0.39263803680981596, 0.32515337423312884, 0.09815950920245399, 0.006134969325153374, 0.0, 0.17791411042944785]"
104277,"[3.8227272727272723, 0.4659090909090909, 0.09090909090909091, 0.3068181818181818, 0.07954545454545454, 0.0, 0.056818181818181816]"
104668,"[8.016216216216218, 0.2810810810810811, 0.1891891891891892, 0.11891891891891893, 0.021621621621621623, 0.005405405405405406, 0.3837837837837838]"
104063,"[5.777358490566037, 0.330188679245283, 0.05660377358490566, 0.05660377358490566, 0.330188679245283, 0.018867924528301886, 0.20754716981132076]"
104064,"[13.568224299065422, 0.29906542056074764, 0.04672897196261682, 0.009345794392523364, 0.009345794392523364, 0.009345794392523364, 0.6261682242990654]"
104009,"[6.276363636363634, 0.08181818181818182, 0.10909090909090909, 0.17272727272727273, 0.16363636363636364, 0.16363636363636364, 0.3090909090909091]"
104065,"[8.789830508474575, 0.3220338983050847, 0.06779661016949153, 0.05084745762711865, 0.0847457627118644, 0.0, 0.4745762711864407]"
104062,"[7.105128205128204, 0.21794871794871795, 0.0641025641025641, 0.02564102564102564, 0.19230769230769232, 0.07692307692307693, 0.4230769230769231]"
104779,"[4.092929292929293, 0.36363636363636365, 0.010101010101010102, 0.10101010101010101, 0.36363636363636365, 0.010101010101010102, 0.15151515151515152]"
104724,"[5.493333333333333, 0.08333333333333333, 0.08333333333333333, 0.1, 0.2, 0.2, 0.3333333333333333]"
104227,"[7.587368421052629, 0.2736842105263158, 0.24210526315789474, 0.0, 0.0, 0.010526315789473684, 0.47368421052631576]"
103519,"[12.326086956521738, 0.33695652173913043, 0.021739130434782608, 0.0, 0.0, 0.0, 0.6413043478260869]"
103521,"[9.823703703703705, 0.26666666666666666, 0.014814814814814815, 0.02962962962962963, 0.1925925925925926, 0.0, 0.4962962962962963]"
103520,"[10.705376344086021, 0.2903225806451613, 0.1827956989247312, 0.010752688172043012, 0.0, 0.0, 0.5161290322580645]"
103518,"[4.737878787878787, 0.29545454545454547, 0.2878787878787879, 0.2878787878787879, 0.022727272727272728, 0.0, 0.10606060606060606]"
103522,"[4.492727272727272, 0.32727272727272727, 0.3181818181818182, 0.22727272727272727, 0.00909090909090909, 0.0, 0.11818181818181818]"
103523,"[5.220338983050848, 0.4915254237288136, 0.0847457627118644, 0.1694915254237288, 0.01694915254237288, 0.01694915254237288, 0.22033898305084745]"
103800,"[5.107070707070707, 0.36363636363636365, 0.30303030303030304, 0.10101010101010101, 0.020202020202020204, 0.030303030303030304, 0.18181818181818182]"
103600,"[3.859615384615384, 0.2692307692307692, 0.16826923076923078, 0.38461538461538464, 0.052884615384615384, 0.052884615384615384, 0.07211538461538461]"
103808,"[3.8575757575757574, 0.3787878787878788, 0.3106060606060606, 0.19696969696969696, 0.007575757575757576, 0.0, 0.10606060606060606]"
150265,"[4.218181818181818, 0.2727272727272727, 0.18181818181818182, 0.2727272727272727, 0.0, 0.0, 0.2727272727272727]"
150017,"[6.83361344537815, 0.24369747899159663, 0.2857142857142857, 0.04201680672268908, 0.0, 0.008403361344537815, 0.42016806722689076]"
150018,"[5.23819095477387, 0.2814070351758794, 0.24120603015075376, 0.2663316582914573, 0.020100502512562814, 0.020100502512562814, 0.1708542713567839]"
150080,"[12.152112676056335, 0.15492957746478872, 0.19718309859154928, 0.0, 0.0, 0.0, 0.647887323943662]"
150073,"[6.068926553672315, 0.3220338983050847, 0.1807909604519774, 0.07909604519774012, 0.192090395480226, 0.011299435028248588, 0.21468926553672316]"
150063,"[6.703703703703703, 0.16666666666666666, 0.1111111111111111, 0.14814814814814814, 0.12962962962962962, 0.14814814814814814, 0.2962962962962963]"
150267,"[4.175609756097561, 0.3170731707317073, 0.04878048780487805, 0.06097560975609756, 0.4146341463414634, 0.06097560975609756, 0.0975609756097561]"
150266,"[9.973333333333334, 0.22962962962962963, 0.05185185185185185, 0.044444444444444446, 0.16296296296296298, 0.0, 0.5111111111111111]"
150062,"[8.67231638418079, 0.21468926553672316, 0.1751412429378531, 0.03954802259887006, 0.05649717514124294, 0.0847457627118644, 0.4293785310734463]"
150268,"[4.673684210526316, 0.40789473684210525, 0.18421052631578946, 0.11842105263157894, 0.0, 0.013157894736842105, 0.27631578947368424]"
150078,"[4.716239316239315, 0.39316239316239315, 0.19658119658119658, 0.13675213675213677, 0.03418803418803419, 0.017094017094017096, 0.2222222222222222]"
150288,"[5.698591549295774, 0.2112676056338028, 0.20187793427230047, 0.29107981220657275, 0.03755868544600939, 0.018779342723004695, 0.23943661971830985]"
150287,"[5.703139013452915, 0.19282511210762332, 0.18834080717488788, 0.24663677130044842, 0.09865470852017937, 0.026905829596412557, 0.24663677130044842]"
150079,"[5.920261437908494, 0.24836601307189543, 0.21568627450980393, 0.19607843137254902, 0.006535947712418301, 0.0, 0.3333333333333333]"
150015,"[4.604278074866308, 0.23529411764705882, 0.11764705882352941, 0.18181818181818182, 0.11229946524064172, 0.0855614973262032, 0.26737967914438504]"
102195,"[7.298159509202454, 0.31901840490797545, 0.10429447852760736, 0.08588957055214724, 0.04294478527607362, 0.049079754601226995, 0.3987730061349693]"
102092,"[6.162770562770563, 0.2554112554112554, 0.21212121212121213, 0.04329004329004329, 0.11255411255411256, 0.08225108225108226, 0.2943722943722944]"
102114,"[4.689115646258504, 0.17687074829931973, 0.08163265306122448, 0.15306122448979592, 0.16326530612244897, 0.17346938775510204, 0.25170068027210885]"
102112,"[5.033707865168538, 0.16853932584269662, 0.0898876404494382, 0.1797752808988764, 0.19101123595505617, 0.07865168539325842, 0.29213483146067415]"
105141,"[5.385062240663902, 0.24896265560165975, 0.2033195020746888, 0.24896265560165975, 0.07053941908713693, 0.02074688796680498, 0.2074688796680498]"
105719,"[4.733333333333333, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333]"
105918,"[6.460606060606059, 0.22727272727272727, 0.16666666666666666, 0.06060606060606061, 0.045454545454545456, 0.06060606060606061, 0.4393939393939394]"
105916,"[4.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666]"
105720,"[5.451428571428569, 0.12142857142857143, 0.09285714285714286, 0.17142857142857143, 0.20714285714285716, 0.17142857142857143, 0.2357142857142857]"
105917,"[6.516666666666666, 0.1, 0.03333333333333333, 0.18333333333333332, 0.11666666666666667, 0.21666666666666667, 0.35]"
105664,"[2.814893617021277, 0.6382978723404256, 0.06382978723404255, 0.0, 0.1595744680851064, 0.0425531914893617, 0.09574468085106383]"
105451,"[9.531818181818181, 0.375, 0.08522727272727272, 0.0, 0.07954545454545454, 0.10795454545454546, 0.3522727272727273]"
105662,"[10.05098039215686, 0.24509803921568626, 0.1568627450980392, 0.0196078431372549, 0.0, 0.058823529411764705, 0.5196078431372549]"
105450,"[5.261224489795918, 0.2653061224489796, 0.23809523809523808, 0.14285714285714285, 0.06802721088435375, 0.12244897959183673, 0.16326530612244897]"
105682,"[8.446808510638302, 0.25, 0.22340425531914893, 0.02127659574468085, 0.005319148936170213, 0.0, 0.5]"
105685,"[5.229166666666668, 0.0625, 0.10416666666666667, 0.16666666666666666, 0.20833333333333334, 0.08333333333333333, 0.375]"
105671,"[4.986301369863011, 0.2465753424657534, 0.13013698630136986, 0.0, 0.1506849315068493, 0.15753424657534246, 0.3150684931506849]"
105443,"[6.060360360360362, 0.14864864864864866, 0.15315315315315314, 0.2882882882882883, 0.13063063063063063, 0.05405405405405406, 0.22522522522522523]"
105824,"[5.609836065573769, 0.29508196721311475, 0.29508196721311475, 0.09836065573770492, 0.0, 0.13934426229508196, 0.1721311475409836]"
105670,"[4.426315789473685, 0.3333333333333333, 0.32456140350877194, 0.043859649122807015, 0.043859649122807015, 0.05263157894736842, 0.20175438596491227]"
105825,"[4.08659793814433, 0.3402061855670103, 0.16494845360824742, 0.16494845360824742, 0.12371134020618557, 0.041237113402061855, 0.16494845360824742]"
105683,"[6.518279569892472, 0.0967741935483871, 0.10752688172043011, 0.16129032258064516, 0.13978494623655913, 0.16129032258064516, 0.3333333333333333]"
105411,"[5.223622047244093, 0.25196850393700787, 0.13385826771653545, 0.08661417322834646, 0.2204724409448819, 0.07086614173228346, 0.23622047244094488]"
105912,"[9.237179487179489, 0.2564102564102564, 0.20512820512820512, 0.019230769230769232, 0.019230769230769232, 0.00641025641025641, 0.4935897435897436]"
105145,"[6.429015544041449, 0.19689119170984457, 0.26424870466321243, 0.31088082901554404, 0.0, 0.0, 0.22797927461139897]"
105142,"[7.6680851063829785, 0.225531914893617, 0.2127659574468085, 0.17872340425531916, 0.03829787234042553, 0.00425531914893617, 0.3404255319148936]"
105714,"[7.116666666666666, 0.3611111111111111, 0.2361111111111111, 0.1111111111111111, 0.0, 0.013888888888888888, 0.2777777777777778]"
105722,"[4.893548387096774, 0.25, 0.0967741935483871, 0.056451612903225805, 0.1532258064516129, 0.11290322580645161, 0.33064516129032256]"
105119,"[9.825000000000006, 0.22023809523809523, 0.19642857142857142, 0.005952380952380952, 0.05357142857142857, 0.023809523809523808, 0.5]"
105715,"[2.6666666666666665, 0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333]"
105144,"[5.798969072164945, 0.28865979381443296, 0.21649484536082475, 0.041237113402061855, 0.07216494845360824, 0.04639175257731959, 0.33505154639175255]"
105408,"[3.724390243902439, 0.4146341463414634, 0.3353658536585366, 0.07317073170731707, 0.0, 0.036585365853658534, 0.1402439024390244]"
105413,"[3.9641618497109823, 0.2658959537572254, 0.09826589595375723, 0.06358381502890173, 0.3815028901734104, 0.10404624277456648, 0.08670520231213873]"
105887,"[5.637500000000001, 0.15625, 0.0625, 0.125, 0.28125, 0.09375, 0.28125]"
105414,"[4.679329608938546, 0.22346368715083798, 0.17318435754189945, 0.29608938547486036, 0.09497206703910614, 0.0335195530726257, 0.1787709497206704]"
105672,"[6.771929824561403, 0.3333333333333333, 0.017543859649122806, 0.12280701754385964, 0.3333333333333333, 0.0, 0.19298245614035087]"
105827,"[4.426548672566373, 0.45132743362831856, 0.11504424778761062, 0.05309734513274336, 0.061946902654867256, 0.061946902654867256, 0.25663716814159293]"
105412,"[5.520869565217391, 0.2826086956521739, 0.21304347826086956, 0.14782608695652175, 0.02608695652173913, 0.07391304347826087, 0.2565217391304348]"
105022,"[2.2615384615384615, 0.46153846153846156, 0.07692307692307693, 0.23076923076923078, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]"
105674,"[6.59142857142857, 0.39285714285714285, 0.2357142857142857, 0.0, 0.0, 0.02857142857142857, 0.34285714285714286]"
105673,"[5.176842105263157, 0.23157894736842105, 0.21052631578947367, 0.28421052631578947, 0.09473684210526316, 0.05263157894736842, 0.12631578947368421]"
105826,"[3.8658823529411754, 0.23529411764705882, 0.2235294117647059, 0.12941176470588237, 0.09411764705882353, 0.023529411764705882, 0.29411764705882354]"
133275,"[6.421238938053093, 0.2831858407079646, 0.24778761061946902, 0.008849557522123894, 0.0, 0.0, 0.46017699115044247]"
133272,"[9.075117370892029, 0.11737089201877934, 0.14084507042253522, 0.051643192488262914, 0.07042253521126761, 0.028169014084507043, 0.5915492957746479]"
133025,"[6.916666666666667, 0.20833333333333334, 0.07142857142857142, 0.07738095238095238, 0.1130952380952381, 0.1130952380952381, 0.4166666666666667]"
133441,"[6.390909090909091, 0.20909090909090908, 0.2636363636363636, 0.32727272727272727, 0.02727272727272727, 0.0, 0.17272727272727273]"
133479,"[9.149707602339184, 0.1871345029239766, 0.23391812865497075, 0.011695906432748537, 0.017543859649122806, 0.005847953216374269, 0.543859649122807]"
133022,"[4.303333333333332, 0.26666666666666666, 0.15, 0.25833333333333336, 0.1, 0.041666666666666664, 0.18333333333333332]"
133448,"[6.6684210526315795, 0.09649122807017543, 0.24561403508771928, 0.4868421052631579, 0.0, 0.0, 0.17105263157894737]"
133273,"[9.213071895424838, 0.3006535947712418, 0.2679738562091503, 0.0, 0.013071895424836602, 0.0, 0.41830065359477125]"
133274,"[4.2250000000000005, 0.2159090909090909, 0.13636363636363635, 0.2727272727272727, 0.13636363636363635, 0.11363636363636363, 0.125]"
133015,"[4.733678756476682, 0.17616580310880828, 0.11917098445595854, 0.29015544041450775, 0.13989637305699482, 0.05181347150259067, 0.22279792746113988]"
133447,"[8.82285714285714, 0.22857142857142856, 0.18095238095238095, 0.0, 0.01904761904761905, 0.0, 0.5714285714285714]"
133023,"[4.773399014778324, 0.2660098522167488, 0.2315270935960591, 0.2512315270935961, 0.03940886699507389, 0.04926108374384237, 0.1625615763546798]"
133024,"[9.015384615384615, 0.2692307692307692, 0.3076923076923077, 0.0, 0.0, 0.0, 0.4230769230769231]"
133440,"[3.9705263157894737, 0.24210526315789474, 0.15789473684210525, 0.3157894736842105, 0.08421052631578947, 0.09473684210526316, 0.10526315789473684]"
133535,"[8.277142857142858, 0.2571428571428571, 0.0, 0.11428571428571428, 0.2571428571428571, 0.0, 0.37142857142857144]"
133731,"[6.707017543859648, 0.32456140350877194, 0.02631578947368421, 0.07017543859649122, 0.24561403508771928, 0.017543859649122806, 0.3157894736842105]"
133798,"[8.515555555555554, 0.1925925925925926, 0.13333333333333333, 0.044444444444444446, 0.05185185185185185, 0.022222222222222223, 0.5555555555555556]"
133561,"[8.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333]"
133102,"[9.931147540983607, 0.2786885245901639, 0.16393442622950818, 0.06557377049180328, 0.01639344262295082, 0.04918032786885246, 0.4262295081967213]"
133770,"[6.280254777070062, 0.22929936305732485, 0.07643312101910828, 0.12101910828025478, 0.14012738853503184, 0.12738853503184713, 0.3057324840764331]"
133545,"[6.549090909090909, 0.2, 0.12727272727272726, 0.23636363636363636, 0.05454545454545454, 0.09090909090909091, 0.2909090909090909]"
133976,"[6.632989690721649, 0.28865979381443296, 0.07216494845360824, 0.030927835051546393, 0.30927835051546393, 0.07216494845360824, 0.2268041237113402]"
133978,"[8.894797687861276, 0.24277456647398843, 0.26011560693641617, 0.017341040462427744, 0.0, 0.005780346820809248, 0.47398843930635837]"
